artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Alceu Valença,559vxOLTzlAv0zB77JMcdG,66,1969239,mpb; forró tradicional; forró,https://open.spotify.com/artist/559vxOLTzlAv0zB77JMcdG,https://i.scdn.co/image/ab6761610000e5ebddf1217b512aecab728c41ab
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,86,31259342,classic rock; psychedelic rock,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,83,23229510,progressive rock; psychedelic rock; classic rock; art rock; rock,https://open.spotify.com/artist/0k17h0D3J5VfsdmQ1iZtE9,https://i.scdn.co/image/ab6761610000e5eb97885ce689d644c91dfba05c
Djavan,5rrmaoBXZ7Jcs4Qb77j0YA,72,3882481,mpb,https://open.spotify.com/artist/5rrmaoBXZ7Jcs4Qb77j0YA,https://i.scdn.co/image/ab6761610000e5ebe699e9c224d7602835111180
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,80,16029990,classic rock; rock,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe,https://i.scdn.co/image/ab6761610000e5ebe4cea917b68726aadb4854b8
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,78,16309976,classic rock; rock; hard rock; rock and roll,https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,https://i.scdn.co/image/207803ce008388d3427a685254f9de6a8f61dc2e
U2,51Blml2LZPmy7TTiAg47vQ,79,13825976,rock,https://open.spotify.com/artist/51Blml2LZPmy7TTiAg47vQ,https://i.scdn.co/image/ab6761610000e5ebe62be215d2ee31bcd97edaba
Maria Bethânia,3f5VCwd57gZsqMad28jyLV,66,1560418,mpb; samba; bossa nova; axé,https://open.spotify.com/artist/3f5VCwd57gZsqMad28jyLV,https://i.scdn.co/image/ab6761610000e5eb6dd0de52c3b1a36a6400eb6d
Queen,1dfeR4HaWDbWqFHLkxsg1d,86,56131919,classic rock; rock; glam rock,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,65,1252839,mpb; bossa nova; brazilian jazz,https://open.spotify.com/artist/1b8kpp4DUwt1hWaxTiWQhD,https://i.scdn.co/image/ab6761610000e5ebce25c56eb261c36e5ebc7864
Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,70,2672345,mpb; bossa nova; samba,https://open.spotify.com/artist/7HGNYPmbDrMkylWqeFCOIQ,https://i.scdn.co/image/ab6761610000e5ebcffb538293045411d2b51b8a
Scorpions,27T030eWyCQRmDyuvr1kxY,76,8890339,hard rock; glam metal; rock,https://open.spotify.com/artist/27T030eWyCQRmDyuvr1kxY,https://i.scdn.co/image/ab6761610000e5eb7440170c0628c2945da819c3
Elton John,3PhoLpVuITZKcymswpck5b,85,15962146,,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,https://i.scdn.co/image/ab6761610000e5eb0dc33a1c53bb58a84b45d6a7
Metallica,2ye2Wgw4gimLv2eAKyk1NB,85,33258436,metal; thrash metal; rock; heavy metal; hard rock,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,https://i.scdn.co/image/ab6761610000e5eb69ca98dd3083f1082d740e44
AC/DC,711MCceyCBcFnzjGY4Q7Un,83,33096239,rock; hard rock; classic rock; rock and roll,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,https://i.scdn.co/image/ab6761610000e5ebc4c77549095c86acb4e77b37
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,81,9147108,classic rock,https://open.spotify.com/artist/0WwSkZ7LtFUFjGjMZBMt6T,https://i.scdn.co/image/ab6761610000e5eb4bdaa8c5e65b64f50549c393
Eagles,0ECwFtbIWEVNwjlrfc6xoL,79,12428353,classic rock; yacht rock; soft rock,https://open.spotify.com/artist/0ECwFtbIWEVNwjlrfc6xoL,https://i.scdn.co/image/ab6761610000e5eb0767e116a2307495e37cd7fb
Bon Jovi,58lV9VcRSjABbAbfWS6skp,81,16325190,glam metal; rock,https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp,https://i.scdn.co/image/ab6761610000e5eb52aade0d2ea19706074da4b9
